year,total,name
1970,86397,British Columbia
1971,82717,British Columbia
1972,101535,British Columbia
1973,116826,British Columbia
1974,96736,British Columbia
1975,91270,British Columbia
1976,120218,British Columbia
1977,142066,British Columbia
1978,137552,British Columbia
1979,140113,British Columbia
1980,141737,British Columbia
1981,119033,British Columbia
1982,121545,British Columbia
1983,155236,British Columbia
1984,163008,British Columbia
1985,186143,British Columbia
1986,199670,British Columbia
1987,231726,British Columbia
1988,210398,British Columbia
1989,188425,British Columbia
1990,182886,British Columbia
1991,173890,British Columbia
1992,186448,British Columbia
1993,171976,British Columbia
1994,161601,British Columbia
1995,168747,British Columbia
1996,176299,British Columbia
1997,171427,British Columbia
1998,168828,British Columbia
1999,204438,British Columbia
2000,199346,British Columbia
2001,179479,British Columbia
2002,204467,British Columbia
2003,228916,British Columbia
2004,254983,British Columbia
2005,256167,British Columbia
2006,235405,British Columbia
2007,233214,British Columbia
2008,194742,British Columbia
2009,152050,British Columbia
2010,201862,British Columbia
2011,229434,British Columbia
2012,214439,British Columbia
2013,236544,British Columbia
2014,214128,British Columbia
2015,241213,British Columbia
2016,233946,British Columbia
2017,214719,British Columbia
2018,144110,British Columbia
2019,21639,British Columbia
1970,0,Boreal Mountains and Plateaus
1971,0,Boreal Mountains and Plateaus
1972,12,Boreal Mountains and Plateaus
1973,0,Boreal Mountains and Plateaus
1974,135,Boreal Mountains and Plateaus
1975,149,Boreal Mountains and Plateaus
1976,121,Boreal Mountains and Plateaus
1977,115,Boreal Mountains and Plateaus
1978,270,Boreal Mountains and Plateaus
1979,229,Boreal Mountains and Plateaus
1980,86,Boreal Mountains and Plateaus
1981,523,Boreal Mountains and Plateaus
1982,345,Boreal Mountains and Plateaus
1983,123,Boreal Mountains and Plateaus
1984,583,Boreal Mountains and Plateaus
1985,1405,Boreal Mountains and Plateaus
1986,278,Boreal Mountains and Plateaus
1987,1022,Boreal Mountains and Plateaus
1988,457,Boreal Mountains and Plateaus
1989,1070,Boreal Mountains and Plateaus
1990,2379,Boreal Mountains and Plateaus
1991,1596,Boreal Mountains and Plateaus
1992,1754,Boreal Mountains and Plateaus
1993,1788,Boreal Mountains and Plateaus
1994,1690,Boreal Mountains and Plateaus
1995,1895,Boreal Mountains and Plateaus
1996,1602,Boreal Mountains and Plateaus
1997,1148,Boreal Mountains and Plateaus
1998,1601,Boreal Mountains and Plateaus
1999,1036,Boreal Mountains and Plateaus
2000,1165,Boreal Mountains and Plateaus
2001,1107,Boreal Mountains and Plateaus
2002,1063,Boreal Mountains and Plateaus
2003,477,Boreal Mountains and Plateaus
2004,1101,Boreal Mountains and Plateaus
2005,261,Boreal Mountains and Plateaus
2006,452,Boreal Mountains and Plateaus
2007,506,Boreal Mountains and Plateaus
2008,502,Boreal Mountains and Plateaus
2009,0,Boreal Mountains and Plateaus
2010,0,Boreal Mountains and Plateaus
2011,11,Boreal Mountains and Plateaus
2012,19,Boreal Mountains and Plateaus
2013,159,Boreal Mountains and Plateaus
2014,0,Boreal Mountains and Plateaus
2015,0,Boreal Mountains and Plateaus
2016,243,Boreal Mountains and Plateaus
2017,30,Boreal Mountains and Plateaus
2018,563,Boreal Mountains and Plateaus
2019,124,Boreal Mountains and Plateaus
1970,41,Boundary Ranges
1971,0,Boundary Ranges
1972,264,Boundary Ranges
1973,0,Boundary Ranges
1974,107,Boundary Ranges
1975,22,Boundary Ranges
1976,16,Boundary Ranges
1977,0,Boundary Ranges
1978,0,Boundary Ranges
1979,57,Boundary Ranges
1980,0,Boundary Ranges
1981,0,Boundary Ranges
1982,0,Boundary Ranges
1983,0,Boundary Ranges
1984,9,Boundary Ranges
1985,0,Boundary Ranges
1986,263,Boundary Ranges
1987,53,Boundary Ranges
1988,0,Boundary Ranges
1989,0,Boundary Ranges
1990,0,Boundary Ranges
1991,27,Boundary Ranges
1992,16,Boundary Ranges
1993,0,Boundary Ranges
1994,0,Boundary Ranges
1995,0,Boundary Ranges
1996,0,Boundary Ranges
1997,0,Boundary Ranges
1998,0,Boundary Ranges
1999,0,Boundary Ranges
2000,0,Boundary Ranges
2001,0,Boundary Ranges
2002,0,Boundary Ranges
2003,0,Boundary Ranges
2004,0,Boundary Ranges
2005,0,Boundary Ranges
2006,0,Boundary Ranges
2007,0,Boundary Ranges
2008,0,Boundary Ranges
2009,0,Boundary Ranges
2010,0,Boundary Ranges
2011,0,Boundary Ranges
2012,0,Boundary Ranges
2013,0,Boundary Ranges
2014,0,Boundary Ranges
2015,0,Boundary Ranges
2016,0,Boundary Ranges
2017,0,Boundary Ranges
2018,0,Boundary Ranges
2019,0,Boundary Ranges
1970,542,Central Alberta Upland
1971,633,Central Alberta Upland
1972,852,Central Alberta Upland
1973,2527,Central Alberta Upland
1974,1944,Central Alberta Upland
1975,1371,Central Alberta Upland
1976,2719,Central Alberta Upland
1977,2452,Central Alberta Upland
1978,2368,Central Alberta Upland
1979,1453,Central Alberta Upland
1980,3893,Central Alberta Upland
1981,1694,Central Alberta Upland
1982,2898,Central Alberta Upland
1983,2113,Central Alberta Upland
1984,3151,Central Alberta Upland
1985,4076,Central Alberta Upland
1986,3443,Central Alberta Upland
1987,4246,Central Alberta Upland
1988,3351,Central Alberta Upland
1989,3181,Central Alberta Upland
1990,2178,Central Alberta Upland
1991,2539,Central Alberta Upland
1992,2759,Central Alberta Upland
1993,1904,Central Alberta Upland
1994,2282,Central Alberta Upland
1995,1488,Central Alberta Upland
1996,1715,Central Alberta Upland
1997,1645,Central Alberta Upland
1998,1464,Central Alberta Upland
1999,1846,Central Alberta Upland
2000,987,Central Alberta Upland
2001,1599,Central Alberta Upland
2002,1563,Central Alberta Upland
2003,1370,Central Alberta Upland
2004,1281,Central Alberta Upland
2005,4447,Central Alberta Upland
2006,3495,Central Alberta Upland
2007,5999,Central Alberta Upland
2008,4919,Central Alberta Upland
2009,3171,Central Alberta Upland
2010,4149,Central Alberta Upland
2011,6676,Central Alberta Upland
2012,6051,Central Alberta Upland
2013,5177,Central Alberta Upland
2014,5059,Central Alberta Upland
2015,6011,Central Alberta Upland
2016,5251,Central Alberta Upland
2017,6588,Central Alberta Upland
2018,5406,Central Alberta Upland
2019,1007,Central Alberta Upland
1970,2284,Central Canadian Rocky Mountains
1971,1798,Central Canadian Rocky Mountains
1972,3037,Central Canadian Rocky Mountains
1973,3349,Central Canadian Rocky Mountains
1974,2148,Central Canadian Rocky Mountains
1975,2409,Central Canadian Rocky Mountains
1976,2841,Central Canadian Rocky Mountains
1977,3289,Central Canadian Rocky Mountains
1978,5641,Central Canadian Rocky Mountains
1979,4156,Central Canadian Rocky Mountains
1980,4307,Central Canadian Rocky Mountains
1981,2190,Central Canadian Rocky Mountains
1982,2038,Central Canadian Rocky Mountains
1983,2136,Central Canadian Rocky Mountains
1984,4274,Central Canadian Rocky Mountains
1985,4175,Central Canadian Rocky Mountains
1986,6766,Central Canadian Rocky Mountains
1987,6556,Central Canadian Rocky Mountains
1988,5544,Central Canadian Rocky Mountains
1989,4735,Central Canadian Rocky Mountains
1990,7753,Central Canadian Rocky Mountains
1991,4994,Central Canadian Rocky Mountains
1992,6084,Central Canadian Rocky Mountains
1993,5287,Central Canadian Rocky Mountains
1994,5025,Central Canadian Rocky Mountains
1995,5815,Central Canadian Rocky Mountains
1996,6095,Central Canadian Rocky Mountains
1997,6113,Central Canadian Rocky Mountains
1998,8207,Central Canadian Rocky Mountains
1999,8074,Central Canadian Rocky Mountains
2000,6139,Central Canadian Rocky Mountains
2001,4499,Central Canadian Rocky Mountains
2002,6051,Central Canadian Rocky Mountains
2003,5971,Central Canadian Rocky Mountains
2004,5292,Central Canadian Rocky Mountains
2005,3780,Central Canadian Rocky Mountains
2006,4775,Central Canadian Rocky Mountains
2007,3577,Central Canadian Rocky Mountains
2008,3045,Central Canadian Rocky Mountains
2009,2512,Central Canadian Rocky Mountains
2010,3653,Central Canadian Rocky Mountains
2011,4741,Central Canadian Rocky Mountains
2012,5290,Central Canadian Rocky Mountains
2013,4787,Central Canadian Rocky Mountains
2014,5170,Central Canadian Rocky Mountains
2015,5864,Central Canadian Rocky Mountains
2016,5835,Central Canadian Rocky Mountains
2017,6903,Central Canadian Rocky Mountains
2018,6053,Central Canadian Rocky Mountains
2019,1745,Central Canadian Rocky Mountains
1970,0,Chilcotin Ranges
1971,66,Chilcotin Ranges
1972,156,Chilcotin Ranges
1973,118,Chilcotin Ranges
1974,89,Chilcotin Ranges
1975,0,Chilcotin Ranges
1976,0,Chilcotin Ranges
1977,0,Chilcotin Ranges
1978,0,Chilcotin Ranges
1979,0,Chilcotin Ranges
1980,314,Chilcotin Ranges
1981,0,Chilcotin Ranges
1982,0,Chilcotin Ranges
1983,13,Chilcotin Ranges
1984,570,Chilcotin Ranges
1985,577,Chilcotin Ranges
1986,656,Chilcotin Ranges
1987,715,Chilcotin Ranges
1988,2138,Chilcotin Ranges
1989,1432,Chilcotin Ranges
1990,745,Chilcotin Ranges
1991,1316,Chilcotin Ranges
1992,646,Chilcotin Ranges
1993,1148,Chilcotin Ranges
1994,650,Chilcotin Ranges
1995,688,Chilcotin Ranges
1996,1849,Chilcotin Ranges
1997,1299,Chilcotin Ranges
1998,1229,Chilcotin Ranges
1999,1697,Chilcotin Ranges
2000,1030,Chilcotin Ranges
2001,1419,Chilcotin Ranges
2002,777,Chilcotin Ranges
2003,524,Chilcotin Ranges
2004,859,Chilcotin Ranges
2005,1074,Chilcotin Ranges
2006,389,Chilcotin Ranges
2007,688,Chilcotin Ranges
2008,1288,Chilcotin Ranges
2009,0,Chilcotin Ranges
2010,701,Chilcotin Ranges
2011,1241,Chilcotin Ranges
2012,1191,Chilcotin Ranges
2013,1965,Chilcotin Ranges
2014,2303,Chilcotin Ranges
2015,3353,Chilcotin Ranges
2016,3123,Chilcotin Ranges
2017,2088,Chilcotin Ranges
2018,554,Chilcotin Ranges
2019,50,Chilcotin Ranges
1970,1614,Coastal Gap
1971,814,Coastal Gap
1972,405,Coastal Gap
1973,1203,Coastal Gap
1974,686,Coastal Gap
1975,387,Coastal Gap
1976,673,Coastal Gap
1977,609,Coastal Gap
1978,1286,Coastal Gap
1979,1037,Coastal Gap
1980,1830,Coastal Gap
1981,1944,Coastal Gap
1982,1115,Coastal Gap
1983,1511,Coastal Gap
1984,2250,Coastal Gap
1985,2223,Coastal Gap
1986,2602,Coastal Gap
1987,3986,Coastal Gap
